rfi_id,date_submitted,date_responded,discipline,category,description,source_clash,source_round
RFI-001,2025-06-04,2025-06-06,Structural,Coordination Issue,"Coordination issue at Zone -7-5 Level 2: MEP-Structure clash near (-39608, 25229, 4579mm). Ref: Clash-30da9ea75825",Clash-30da9ea75825,1
RFI-002,2025-06-04,2025-06-11,Mechanical,Coordination Issue,"Coordination issue at Zone -5-8 Level 2: MEP-Structure clash near (-26495, 41570, 4279mm). Ref: Clash-2f8cd0352b91",Clash-2f8cd0352b91,1
RFI-003,2025-06-12,2025-06-18,Mechanical,Coordination Issue,"Coordination issue at Zone -7-3 Level 2: MEP-Structure clash near (-38882, 16465, 4290mm). Ref: Clash-be499bc8bc9e",Clash-be499bc8bc9e,1
RFI-004,2025-06-09,,Structural,Coordination Issue,"Coordination issue at Zone -1-8 Level 2: MEP-Structure clash near (-8230, 43799, 4118mm). Ref: Clash-2409c55b7106",Clash-2409c55b7106,1
RFI-005,2025-06-10,2025-06-15,Mechanical,Coordination Issue,"Coordination issue at Zone -6-4 Level 3: MEP-Structure clash near (-32696, 21659, 8957mm). Ref: Clash-0e7d96beca8b",Clash-0e7d96beca8b,1
RFI-006,2025-06-11,2025-06-17,Structural,Coordination Issue,"Coordination issue at Zone 0-9 Level 2: MEP-Structure clash near (-3640, 47211, 4261mm). Ref: Clash-2010f6a96570",Clash-2010f6a96570,1
RFI-007,2025-06-03,2025-06-05,Structural,Coordination Issue,"Coordination issue at Zone -1-2 Level 2: MEP-Structure clash near (-6370, 13054, 4131mm). Ref: Clash-2b900ef4fd8c",Clash-2b900ef4fd8c,1
RFI-008,2025-06-08,2025-06-10,Structural,Coordination Issue,"Coordination issue at Zone -8-10 Level 2: MEP-Structure clash near (-41566, 51694, 4215mm). Ref: Clash-367d9935ed1d",Clash-367d9935ed1d,1
RFI-009,2025-06-11,2025-06-17,Structural,Coordination Issue,"Coordination issue at Zone -9-7 Level 2: MEP-Structure clash near (-46094, 35489, 4261mm). Ref: Clash-e2a7a85b4c69",Clash-e2a7a85b4c69,1
RFI-010,2025-06-10,2025-06-15,Structural,Coordination Issue,"Coordination issue at Zone -8-7 Level 2: MEP-Structure clash near (-42471, 35489, 4261mm). Ref: Clash-e6a4d62ecc26",Clash-e6a4d62ecc26,1
RFI-011,2025-06-06,2025-06-11,Mechanical,Coordination Issue,"Coordination issue at Zone -6-2 Level 2: MEP-Structure clash near (-31772, 10778, 4144mm). Ref: Clash-9d72d046044d",Clash-9d72d046044d,1
RFI-012,2025-06-14,2025-06-18,Structural,Coordination Issue,"Coordination issue at Zone -6-4 Level 2: MEP-Structure clash near (-33105, 23080, 4464mm). Ref: Clash-b0b42a211656",Clash-b0b42a211656,1
RFI-013,2025-06-04,2025-06-08,Structural,Coordination Issue,"Coordination issue at Zone -8-8 Level 2: MEP-Structure clash near (-42471, 43083, 4227mm). Ref: Clash-a2562a4c2557",Clash-a2562a4c2557,1
RFI-014,2025-06-08,2025-06-12,Structural,Coordination Issue,"Coordination issue at Zone -1-8 Level 2: MEP-Structure clash near (-5003, 44780, 4260mm). Ref: Clash-ec05fb393764",Clash-ec05fb393764,1
RFI-015,2025-06-11,2025-06-27,Mechanical,Coordination Issue,"Coordination issue at Zone -5-3 Level 2: MEP-Structure clash near (-29101, 19944, 4131mm). Ref: Clash-dab31de85ac4",Clash-dab31de85ac4,1
