submittal_id,discipline,revision,status,date_submitted,description,source_clash,source_round
SUB-001,Mechanical,1,Approved,2025-06-28,"Mechanical submittal for MEP-Structure resolution near (-36134, 23080, 4476mm). Ref: Clash-d58c15de79f7",Clash-d58c15de79f7,2
SUB-002,Mechanical,2,Approved as Noted,2025-06-27,"Mechanical submittal for MEP-Structure resolution near (-10130, 44727, 4261mm). Ref: Clash-bc7c259bd147",Clash-bc7c259bd147,2
SUB-003,Mechanical,1,Approved,2025-06-24,"Mechanical submittal for MEP-Structure resolution near (-20971, 21378, 4131mm). Ref: Clash-1762719132e2",Clash-1762719132e2,2
SUB-004,Mechanical,0,Rejected,2025-06-17,"Mechanical submittal for MEP-Structure resolution near (-31762, 23358, 8957mm). Ref: Clash-df7089e37175",Clash-df7089e37175,2
SUB-005,Mechanical,2,Approved,2025-06-15,"Mechanical submittal for MEP-Structure resolution near (-32661, 12657, 8932mm). Ref: Clash-332c30ff92c9",Clash-332c30ff92c9,2
SUB-006,Mechanical,2,Revise & Resubmit,2025-06-25,"Mechanical submittal for MEP-Structure resolution near (-29106, 12657, 8932mm). Ref: Clash-0662a653d09d",Clash-0662a653d09d,2
SUB-007,Mechanical,0,Approved,2025-06-16,"Mechanical submittal for MEP-Structure resolution near (-41566, 17306, 8932mm). Ref: Clash-21290f3322c8",Clash-21290f3322c8,2
SUB-008,Mechanical,0,Approved,2025-06-28,"Mechanical submittal for MEP-Structure resolution near (-38882, 17552, 4290mm). Ref: Clash-cb929f1c8942",Clash-cb929f1c8942,2
SUB-009,Mechanical,3,Approved as Noted,2025-06-15,"Mechanical submittal for MEP-Structure resolution near (-34439, 23080, 4286mm). Ref: Clash-79ada490a6e0",Clash-79ada490a6e0,2
SUB-010,Mechanical,0,Approved,2025-06-17,"Mechanical submittal for MEP-Structure resolution near (-5003, 44780, 4260mm). Ref: Clash-ec05fb393764",Clash-ec05fb393764,2
SUB-011,Mechanical,1,Approved,2025-06-24,"Mechanical submittal for MEP-Structure resolution near (-38882, 10534, 4144mm). Ref: Clash-775b85ce0843",Clash-775b85ce0843,2
SUB-012,Mechanical,1,Approved,2025-06-27,"Mechanical submittal for MEP-Structure resolution near (-17470, 42515, 4312mm). Ref: Clash-8f91575ee610",Clash-8f91575ee610,2
SUB-013,Mechanical,1,Approved as Noted,2025-06-23,"Mechanical submittal for MEP-Structure resolution near (-35583, 21912, 4519mm). Ref: Clash-e0f6bef18d25",Clash-e0f6bef18d25,2
SUB-014,Mechanical,0,Approved as Noted,2025-06-28,"Mechanical submittal for MEP-Structure resolution near (-5003, 44780, 3980mm). Ref: Clash-d97c791c7c38",Clash-d97c791c7c38,2
SUB-015,Mechanical,1,Approved as Noted,2025-06-27,"Mechanical submittal for MEP-Structure resolution near (-43341, 18450, 8932mm). Ref: Clash-5bd45f37e46f",Clash-5bd45f37e46f,2
SUB-016,Mechanical,1,Approved,2025-06-18,"Mechanical submittal for MEP-Structure resolution near (-44282, 52791, 4260mm). Ref: Clash-3f877fa8ac05",Clash-3f877fa8ac05,2
SUB-017,Mechanical,0,Approved as Noted,2025-06-23,"Mechanical submittal for MEP-Structure resolution near (-10590, 12722, 4131mm). Ref: Clash-50eca1089907",Clash-50eca1089907,2
