meeting_date,total_items,decided_items,deferred_items,disciplines_required,disciplines_present,round,active_clashes
2025-06-01,9,3,6,Architectural;Electrical;Mechanical;Plumbing,Architectural;Electrical;Plumbing,1,2255
2025-06-08,10,4,6,Architectural;Electrical;Mechanical;Plumbing,Architectural;Electrical;Mechanical;Plumbing,1,662
2025-06-15,12,6,6,Architectural;Electrical;Mechanical;Plumbing,Architectural;Electrical;Mechanical;Plumbing,2,1035
2025-06-22,13,7,6,Architectural;Electrical;Mechanical;Plumbing,Architectural;Electrical;Mechanical;Plumbing,2,197
2025-06-29,15,9,6,Architectural;Electrical;Mechanical;Plumbing,Architectural;Electrical,3,744
2025-07-06,15,9,6,Architectural;Electrical;Mechanical;Plumbing,Architectural;Electrical;Mechanical,3,94
2025-07-13,17,10,7,Architectural;Electrical;Mechanical;Plumbing,Architectural;Electrical;Mechanical;Plumbing,4,512
2025-07-20,17,11,6,Architectural;Electrical;Mechanical;Plumbing,Architectural;Electrical;Mechanical;Plumbing,4,109
2025-07-27,16,9,7,Architectural;Electrical;Mechanical;Plumbing,Architectural;Electrical;Mechanical;Plumbing,5,317
2025-08-03,17,10,7,Architectural;Electrical;Mechanical;Plumbing,Architectural;Electrical;Mechanical;Plumbing,5,80
2025-08-10,15,9,6,Architectural;Electrical;Mechanical;Plumbing,Architectural;Electrical;Mechanical;Plumbing,6,229
2025-08-17,15,11,4,Architectural;Electrical;Mechanical;Plumbing,Architectural;Electrical;Mechanical;Plumbing,6,58
