rfi_id,date_submitted,date_responded,discipline,category,description,source_clash,source_round
RFI-001,2025-06-04,2025-06-05,Architectural,Coordination Issue,"Coordination issue at Zone 0-0 Level 1: MEP-Architecture clash near (2600, -3261, 1273mm). Ref: Clash-d3a665e73c45",Clash-d3a665e73c45,1
RFI-002,2025-06-04,2025-06-11,Mechanical,Coordination Issue,"Coordination issue at Zone 1--1 Level 1: MEP-Architecture clash near (8383, -5185, 3100mm). Ref: Clash-d6f4e625395c",Clash-d6f4e625395c,1
RFI-003,2025-06-12,2025-06-18,Mechanical,Coordination Issue,"Coordination issue at Zone 1--3 Level 1: MEP-Architecture clash near (8383, -16087, 3259mm). Ref: Clash-b7c97f3a3895",Clash-b7c97f3a3895,1
RFI-004,2025-06-09,,Architectural,Coordination Issue,"Coordination issue at Zone 0--1 Level 1: MEP-Architecture clash near (4649, -9950, 600mm). Ref: Clash-cad43feceaa9",Clash-cad43feceaa9,1
RFI-005,2025-06-10,2025-06-15,Mechanical,Coordination Issue,"Coordination issue at Zone 0--1 Level 1: MEP-Architecture clash near (4128, -8150, 2729mm). Ref: Clash-ad6ea6a55880",Clash-ad6ea6a55880,1
RFI-006,2025-06-11,2025-06-16,Architectural,Coordination Issue,"Coordination issue at Zone 0--1 Level 1: MEP-Architecture clash near (2630, -9760, 2656mm). Ref: Clash-611f84545c02",Clash-611f84545c02,1
RFI-007,2025-06-03,2025-06-05,Architectural,Coordination Issue,"Coordination issue at Zone 0--1 Level 1: MEP-Architecture clash near (2542, -8782, 98mm). Ref: Clash-5bb9dbc93293",Clash-5bb9dbc93293,1
RFI-008,2025-06-08,2025-06-10,Architectural,Coordination Issue,"Coordination issue at Zone 1--1 Level 1: MEP-Architecture clash near (6242, -9138, 3106mm). Ref: Clash-29d66843eb84",Clash-29d66843eb84,1
RFI-009,2025-06-11,2025-06-16,Architectural,Coordination Issue,"Coordination issue at Zone 0--2 Level 1: MEP-Architecture clash near (3317, -10084, 3155mm). Ref: Clash-0e585f1023b0",Clash-0e585f1023b0,1
RFI-010,2025-06-10,2025-06-14,Architectural,Coordination Issue,"Coordination issue at Zone 0--1 Level 1: MEP-Architecture clash near (3997, -7438, 2650mm). Ref: Clash-5254b9a347c9",Clash-5254b9a347c9,1
RFI-011,2025-06-06,2025-06-11,Mechanical,Coordination Issue,"Coordination issue at Zone 0--2 Level 1: MEP-Architecture clash near (2459, -10898, 3137mm). Ref: Clash-873c9f4197b0",Clash-873c9f4197b0,1
RFI-012,2025-06-14,2025-06-18,Architectural,Coordination Issue,"Coordination issue at Zone 1-0 Level 1: MEP-Architecture clash near (8389, -2956, 95mm). Ref: Clash-30ea593dd8d1",Clash-30ea593dd8d1,1
RFI-013,2025-06-04,2025-06-08,Architectural,Coordination Issue,"Coordination issue at Zone 1-0 Level 1: MEP-Architecture clash near (8415, -408, 2659mm). Ref: Clash-c1469d81c765",Clash-c1469d81c765,1
RFI-014,2025-06-08,2025-06-12,Architectural,Coordination Issue,"Coordination issue at Zone 0--2 Level 1: MEP-Architecture clash near (408, -10035, 3196mm). Ref: Clash-fba1e9e5d5ac",Clash-fba1e9e5d5ac,1
RFI-015,2025-06-11,2025-06-27,Mechanical,Coordination Issue,"Coordination issue at Zone 0--2 Level 1: MEP-Architecture clash near (379, -11307, 2893mm). Ref: Clash-86b764535eb0",Clash-86b764535eb0,1
RFI-016,2025-06-05,2025-06-10,Architectural,Coordination Issue,"Coordination issue at Zone 0--1 Level 1: MEP-Architecture clash near (4062, -9046, 3000mm). Ref: Clash-b75ed98362d8",Clash-b75ed98362d8,1
RFI-017,2025-06-08,2025-06-12,Mechanical,Coordination Issue,"Coordination issue at Zone 0--1 Level 1: MEP-Architecture clash near (4152, -8004, -64mm). Ref: Clash-4b02338cebbb",Clash-4b02338cebbb,1
RFI-018,2025-06-01,,Architectural,Coordination Issue,"Coordination issue at Zone 0--1 Level 1: MEP-Architecture clash near (4716, -8368, 914mm). Ref: Clash-073377b84030",Clash-073377b84030,1
RFI-019,2025-06-12,2025-06-15,Architectural,Coordination Issue,"Coordination issue at Zone 1-0 Level 2: MEP-Architecture clash near (6473, -3010, 5700mm). Ref: Clash-3a9b72671805",Clash-3a9b72671805,1
