submittal_id,discipline,revision,status,date_submitted,description,source_clash,source_round
SUB-001,Mechanical,1,Approved,2025-06-28,"Mechanical submittal for MEP-Architecture resolution near (2506, -8234, 3259mm). Ref: Clash-e5bb4b44752b",Clash-e5bb4b44752b,2
SUB-002,Mechanical,2,Approved as Noted,2025-06-27,"Mechanical submittal for MEP-Architecture resolution near (5479, -7643, 3003mm). Ref: Clash-63d71a55afbf",Clash-63d71a55afbf,2
SUB-003,Mechanical,1,Approved,2025-06-24,"Mechanical submittal for MEP-Architecture resolution near (4649, -8597, 911mm). Ref: Clash-e16fa118d69a",Clash-e16fa118d69a,2
SUB-004,Mechanical,0,Rejected,2025-06-17,"Mechanical submittal for MEP-Architecture resolution near (4077, -7335, 3003mm). Ref: Clash-180e9b78a97b",Clash-180e9b78a97b,2
SUB-005,Mechanical,2,Approved,2025-06-15,"Mechanical submittal for MEP-Architecture resolution near (5088, -7194, 5728mm). Ref: Clash-2d62f46d4030",Clash-2d62f46d4030,2
SUB-006,Mechanical,2,Revise & Resubmit,2025-06-25,"Mechanical submittal for MEP-Architecture resolution near (3997, -8185, 2650mm). Ref: Clash-78254ad1b1c7",Clash-78254ad1b1c7,2
SUB-007,Mechanical,0,Approved,2025-06-16,"Mechanical submittal for MEP-Architecture resolution near (3309, -9760, 2659mm). Ref: Clash-52f0f61b3873",Clash-52f0f61b3873,2
SUB-008,Mechanical,0,Approved,2025-06-28,"Mechanical submittal for MEP-Architecture resolution near (4646, -9277, 800mm). Ref: Clash-6fd8f2a52797",Clash-6fd8f2a52797,2
SUB-009,Mechanical,3,Approved as Noted,2025-06-15,"Mechanical submittal for MEP-Architecture resolution near (4090, -10294, 2736mm). Ref: Clash-0df78af0ca00",Clash-0df78af0ca00,2
SUB-010,Mechanical,0,Approved,2025-06-17,"Mechanical submittal for MEP-Architecture resolution near (1538, -9758, -64mm). Ref: Clash-966eab3e56d3",Clash-966eab3e56d3,2
SUB-011,Mechanical,1,Approved,2025-06-24,"Mechanical submittal for MEP-Architecture resolution near (379, -11307, 3138mm). Ref: Clash-6497d7872ec5",Clash-6497d7872ec5,2
SUB-012,Mechanical,1,Approved,2025-06-27,"Mechanical submittal for MEP-Architecture resolution near (4084, -9203, 914mm). Ref: Clash-bea3cf5bd340",Clash-bea3cf5bd340,2
SUB-013,Mechanical,1,Approved as Noted,2025-06-23,"Mechanical submittal for MEP-Architecture resolution near (3598, -9318, -0mm). Ref: Clash-b15922276c43",Clash-b15922276c43,2
SUB-014,Mechanical,0,Approved as Noted,2025-06-28,"Mechanical submittal for MEP-Architecture resolution near (2567, -8782, 95mm). Ref: Clash-f1e0e71598ce",Clash-f1e0e71598ce,2
SUB-015,Mechanical,1,Approved as Noted,2025-06-27,"Mechanical submittal for MEP-Architecture resolution near (4647, -10688, 3227mm). Ref: Clash-845282b3454f",Clash-845282b3454f,2
SUB-016,Mechanical,1,Approved,2025-06-18,"Mechanical submittal for MEP-Architecture resolution near (208, -9246, -460mm). Ref: Clash-6f23113f1d4b",Clash-6f23113f1d4b,2
SUB-017,Mechanical,0,Approved as Noted,2025-06-23,"Mechanical submittal for MEP-Architecture resolution near (4648, -8440, 450mm). Ref: Clash-e9ae34953fe9",Clash-e9ae34953fe9,2
SUB-018,Mechanical,1,Approved,2025-06-18,"Mechanical submittal for MEP-Architecture resolution near (5834, -7142, 6mm). Ref: Clash-b74469ecabcd",Clash-b74469ecabcd,2
SUB-019,Mechanical,1,Approved as Noted,2025-06-22,"Mechanical submittal for MEP-Architecture resolution near (4077, -7404, 3000mm). Ref: Clash-f77dd8a6f651",Clash-f77dd8a6f651,2
SUB-020,Mechanical,0,Approved,2025-06-27,"Mechanical submittal for MEP-Architecture resolution near (4030, -7230, 3389mm). Ref: Clash-49e5e2721c6b",Clash-49e5e2721c6b,2
SUB-021,Electrical,1,Approved as Noted,2025-06-20,"Electrical submittal for Electrical-Mechanical resolution near (5401, -7194, 3754mm). Ref: Clash-5f9cb74bee5e",Clash-5f9cb74bee5e,2
SUB-022,Electrical,3,Approved as Noted,2025-06-26,"Electrical submittal for Electrical-Mechanical resolution near (907, -10372, 458mm). Ref: Clash-b09570ab4d99",Clash-b09570ab4d99,2
SUB-023,Plumbing,1,Approved,2025-06-27,"Plumbing submittal for Plumbing-Mechanical resolution near (5483, -7603, 3261mm). Ref: Clash-2892140a989b",Clash-2892140a989b,2
SUB-024,Plumbing,2,Approved,2025-06-27,"Plumbing submittal for Plumbing-Mechanical resolution near (4808, -8871, 3935mm). Ref: Clash-581131d67bd6",Clash-581131d67bd6,2
SUB-025,Plumbing,2,Approved,2025-06-25,"Plumbing submittal for Plumbing-Mechanical resolution near (4152, -8004, -429mm). Ref: Clash-b16652b357f0",Clash-b16652b357f0,2
SUB-026,Plumbing,0,Revise & Resubmit,2025-06-17,"Plumbing submittal for Plumbing-Mechanical resolution near (4648, -9796, -429mm). Ref: Clash-2bc2869128b8",Clash-2bc2869128b8,2
SUB-027,Plumbing,2,Approved,2025-06-26,"Plumbing submittal for Plumbing-Mechanical resolution near (4118, -9696, 3000mm). Ref: Clash-dddc1cefe473",Clash-dddc1cefe473,2
